,datetime,detid,flow
220,2015-10-06 17:48:00,K1D43,580.0
221,2015-10-06 17:51:00,K1D43,260.0
222,2015-10-06 17:54:00,K1D43,460.0
223,2015-10-06 17:57:00,K1D43,300.0
224,2015-10-06 18:00:00,K1D43,480.0
225,2015-10-06 18:03:00,K1D43,240.0
226,2015-10-06 18:06:00,K1D43,220.0
227,2015-10-06 18:09:00,K1D43,320.0
228,2015-10-06 18:12:00,K1D43,400.0
229,2015-10-06 18:15:00,K1D43,260.0
230,2015-10-06 18:18:00,K1D43,180.0
231,2015-10-06 18:21:00,K1D43,320.0
232,2015-10-06 18:24:00,K1D43,340.0
233,2015-10-06 18:27:00,K1D43,400.0
234,2015-10-06 18:30:00,K1D43,280.0
235,2015-10-06 18:33:00,K1D43,240.0
236,2015-10-06 18:36:00,K1D43,240.0
237,2015-10-06 18:39:00,K1D43,380.0
238,2015-10-06 18:42:00,K1D43,260.0
239,2015-10-06 18:45:00,K1D43,200.0
240,2015-10-06 18:48:00,K1D43,180.0
241,2015-10-06 18:51:00,K1D43,140.0
242,2015-10-06 18:54:00,K1D43,260.0
243,2015-10-06 18:57:00,K1D43,200.0
244,2015-10-06 19:00:00,K1D43,140.0
245,2015-10-06 19:03:00,K1D43,160.0
246,2015-10-06 19:06:00,K1D43,100.0
247,2015-10-06 19:09:00,K1D43,240.0
248,2015-10-06 19:12:00,K1D43,180.0
249,2015-10-06 19:15:00,K1D43,140.0
250,2015-10-06 19:18:00,K1D43,100.0
251,2015-10-06 19:21:00,K1D43,160.0
252,2015-10-06 19:24:00,K1D43,180.0
253,2015-10-06 19:27:00,K1D43,180.0
254,2015-10-06 19:30:00,K1D43,160.0
255,2015-10-06 19:33:00,K1D43,300.0
256,2015-10-06 19:36:00,K1D43,160.0
257,2015-10-06 19:39:00,K1D43,160.0
258,2015-10-06 19:42:00,K1D43,240.0
259,2015-10-06 19:45:00,K1D43,120.0
260,2015-10-06 19:48:00,K1D43,220.0
261,2015-10-06 19:51:00,K1D43,140.0
262,2015-10-06 19:54:00,K1D43,120.0
263,2015-10-06 19:57:00,K1D43,120.0
264,2015-10-06 20:00:00,K1D43,120.0
265,2015-10-06 20:03:00,K1D43,100.0
266,2015-10-06 20:06:00,K1D43,200.0
267,2015-10-06 20:09:00,K1D43,140.0
268,2015-10-06 20:12:00,K1D43,140.0
269,2015-10-06 20:15:00,K1D43,20.0
270,2015-10-06 20:18:00,K1D43,140.0
271,2015-10-06 20:21:00,K1D43,120.0
272,2015-10-06 20:24:00,K1D43,100.0
273,2015-10-06 20:27:00,K1D43,120.0
274,2015-10-06 20:30:00,K1D43,240.0
275,2015-10-06 20:33:00,K1D43,40.0
276,2015-10-06 20:36:00,K1D43,180.0
277,2015-10-06 20:39:00,K1D43,160.0
278,2015-10-06 20:42:00,K1D43,60.0
279,2015-10-06 20:45:00,K1D43,100.0
280,2015-10-06 20:48:00,K1D43,140.0
281,2015-10-06 20:51:00,K1D43,100.0
282,2015-10-06 20:54:00,K1D43,120.0
283,2015-10-06 20:57:00,K1D43,60.0
284,2015-10-06 21:00:00,K1D43,60.0
285,2015-10-06 21:03:00,K1D43,160.0
286,2015-10-06 21:06:00,K1D43,100.0
287,2015-10-06 21:09:00,K1D43,40.0
288,2015-10-06 21:12:00,K1D43,100.0
289,2015-10-06 21:15:00,K1D43,40.0
290,2015-10-06 21:18:00,K1D43,80.0
291,2015-10-06 21:21:00,K1D43,0.0
292,2015-10-06 21:24:00,K1D43,80.0
293,2015-10-06 21:27:00,K1D43,120.0
294,2015-10-06 21:30:00,K1D43,40.0
295,2015-10-06 21:33:00,K1D43,60.0
296,2015-10-06 21:36:00,K1D43,80.0
297,2015-10-06 21:39:00,K1D43,80.0
298,2015-10-06 21:42:00,K1D43,80.0
299,2015-10-06 21:45:00,K1D43,20.0
300,2015-10-06 21:48:00,K1D43,60.0
301,2015-10-06 21:51:00,K1D43,60.0
302,2015-10-06 21:54:00,K1D43,80.0
303,2015-10-06 21:57:00,K1D43,60.0
304,2015-10-06 22:00:00,K1D43,80.0
305,2015-10-06 22:03:00,K1D43,60.0
306,2015-10-06 22:06:00,K1D43,40.0
307,2015-10-06 22:09:00,K1D43,60.0
308,2015-10-06 22:12:00,K1D43,0.0
309,2015-10-06 22:15:00,K1D43,40.0
310,2015-10-06 22:18:00,K1D43,20.0
311,2015-10-06 22:21:00,K1D43,40.0
312,2015-10-06 22:24:00,K1D43,40.0
313,2015-10-06 22:27:00,K1D43,80.0
314,2015-10-06 22:30:00,K1D43,40.0
315,2015-10-06 22:33:00,K1D43,40.0
316,2015-10-06 22:36:00,K1D43,20.0
317,2015-10-06 22:39:00,K1D43,60.0
318,2015-10-06 22:42:00,K1D43,60.0
319,2015-10-06 22:45:00,K1D43,40.0
320,2015-10-06 22:48:00,K1D43,60.0
321,2015-10-06 22:51:00,K1D43,20.0
322,2015-10-06 22:54:00,K1D43,40.0
323,2015-10-06 22:57:00,K1D43,40.0
324,2015-10-06 23:00:00,K1D43,20.0
325,2015-10-06 23:03:00,K1D43,40.0
326,2015-10-06 23:06:00,K1D43,0.0
327,2015-10-06 23:09:00,K1D43,60.0
328,2015-10-06 23:12:00,K1D43,40.0
329,2015-10-06 23:15:00,K1D43,60.0
330,2015-10-06 23:18:00,K1D43,0.0
331,2015-10-06 23:21:00,K1D43,20.0
332,2015-10-06 23:24:00,K1D43,20.0
333,2015-10-06 23:27:00,K1D43,0.0
334,2015-10-06 23:30:00,K1D43,20.0
335,2015-10-06 23:33:00,K1D43,20.0
336,2015-10-06 23:36:00,K1D43,40.0
337,2015-10-06 23:39:00,K1D43,0.0
338,2015-10-06 23:42:00,K1D43,0.0
339,2015-10-06 23:45:00,K1D43,0.0
340,2015-10-06 23:48:00,K1D43,20.0
341,2015-10-06 23:51:00,K1D43,20.0
342,2015-10-06 23:54:00,K1D43,0.0
343,2015-10-06 23:57:00,K1D43,40.0
344,2015-10-07 00:00:00,K1D43,0.0
345,2015-10-07 00:03:00,K1D43,40.0
346,2015-10-07 00:06:00,K1D43,40.0
347,2015-10-07 00:09:00,K1D43,0.0
348,2015-10-07 00:12:00,K1D43,0.0
349,2015-10-07 00:15:00,K1D43,20.0
350,2015-10-07 00:18:00,K1D43,0.0
351,2015-10-07 00:21:00,K1D43,0.0
352,2015-10-07 00:24:00,K1D43,0.0
353,2015-10-07 00:27:00,K1D43,0.0
354,2015-10-07 00:30:00,K1D43,0.0
355,2015-10-07 00:33:00,K1D43,20.0
356,2015-10-07 00:36:00,K1D43,0.0
357,2015-10-07 00:39:00,K1D43,0.0
