datetime,flow
2016-04-18 23:12:00,20.0
2016-04-18 23:15:00,0.0
2016-04-18 23:18:00,0.0
2016-04-18 23:21:00,40.0
2016-04-18 23:24:00,0.0
2016-04-18 23:27:00,0.0
2016-04-18 23:30:00,0.0
2016-04-18 23:33:00,0.0
2016-04-18 23:36:00,20.0
2016-04-18 23:39:00,0.0
2016-04-18 23:42:00,0.0
2016-04-18 23:45:00,0.0
2016-04-18 23:48:00,0.0
2016-04-18 23:51:00,0.0
2016-04-18 23:54:00,0.0
2016-04-18 23:57:00,20.0
2016-04-19 00:00:00,20.0
2016-04-19 00:03:00,20.0
2016-04-19 00:06:00,0.0
2016-04-19 00:09:00,0.0
2016-04-19 00:12:00,0.0
2016-04-19 00:15:00,0.0
2016-04-19 00:18:00,0.0
2016-04-19 00:21:00,0.0
2016-04-19 00:24:00,0.0
2016-04-19 00:27:00,0.0
2016-04-19 00:30:00,0.0
2016-04-19 00:33:00,0.0
2016-04-19 00:36:00,0.0
2016-04-19 00:39:00,0.0
2016-04-19 00:42:00,0.0
2016-04-19 00:45:00,0.0
2016-04-19 00:48:00,20.0
2016-04-19 00:51:00,0.0
2016-04-19 00:54:00,0.0
2016-04-19 00:57:00,60.0
2016-04-19 01:00:00,0.0
2016-04-19 01:03:00,0.0
2016-04-19 01:06:00,20.0
2016-04-19 01:09:00,0.0
2016-04-19 01:12:00,0.0
2016-04-19 01:15:00,0.0
2016-04-19 01:18:00,0.0
2016-04-19 01:21:00,0.0
2016-04-19 01:24:00,20.0
2016-04-19 01:27:00,20.0
2016-04-19 01:30:00,0.0
2016-04-19 01:33:00,0.0
2016-04-19 01:36:00,0.0
2016-04-19 01:39:00,0.0
2016-04-19 01:42:00,0.0
2016-04-19 01:45:00,0.0
2016-04-19 01:48:00,20.0
2016-04-19 01:51:00,40.0
2016-04-19 01:54:00,0.0
2016-04-19 01:57:00,0.0
2016-04-19 02:00:00,0.0
2016-04-19 02:03:00,40.0
2016-04-19 02:06:00,20.0
2016-04-19 02:09:00,20.0
2016-04-19 02:12:00,0.0
2016-04-19 02:15:00,0.0
2016-04-19 02:18:00,0.0
2016-04-19 02:21:00,0.0
2016-04-19 02:24:00,60.0
2016-04-19 02:27:00,20.0
2016-04-19 02:30:00,40.0
2016-04-19 02:33:00,40.0
2016-04-19 02:36:00,40.0
2016-04-19 02:39:00,20.0
2016-04-19 02:42:00,0.0
2016-04-19 02:45:00,20.0
2016-04-19 02:48:00,40.0
2016-04-19 02:51:00,0.0
2016-04-19 02:54:00,60.0
2016-04-19 02:57:00,0.0
2016-04-19 03:00:00,40.0
2016-04-19 03:03:00,0.0
2016-04-19 03:06:00,80.0
2016-04-19 03:09:00,40.0
2016-04-19 03:12:00,60.0
2016-04-19 03:15:00,40.0
2016-04-19 03:18:00,80.0
2016-04-19 03:21:00,100.0
2016-04-19 03:24:00,140.0
2016-04-19 03:27:00,160.0
2016-04-19 03:30:00,200.0
2016-04-19 03:33:00,180.0
2016-04-19 03:36:00,220.0
2016-04-19 03:39:00,180.0
2016-04-19 03:42:00,280.0
2016-04-19 03:45:00,240.0
2016-04-19 03:48:00,340.0
2016-04-19 03:51:00,400.0
2016-04-19 03:54:00,240.0
2016-04-19 03:57:00,160.0
2016-04-19 04:00:00,320.0
2016-04-19 04:03:00,260.0
2016-04-19 04:06:00,280.0
2016-04-19 04:09:00,280.0
2016-04-19 04:12:00,400.0
2016-04-19 04:15:00,520.0
2016-04-19 04:18:00,500.0
2016-04-19 04:21:00,600.0
2016-04-19 04:24:00,500.0
2016-04-19 04:27:00,640.0
2016-04-19 04:30:00,680.0
2016-04-19 04:33:00,660.0
2016-04-19 04:36:00,660.0
2016-04-19 04:39:00,800.0
2016-04-19 04:42:00,500.0
2016-04-19 04:45:00,640.0
2016-04-19 04:48:00,740.0
2016-04-19 04:51:00,800.0
2016-04-19 04:54:00,820.0
2016-04-19 04:57:00,540.0
2016-04-19 05:00:00,1000.0
2016-04-19 05:03:00,860.0
2016-04-19 05:06:00,660.0
2016-04-19 05:09:00,960.0
2016-04-19 05:12:00,940.0
2016-04-19 05:15:00,640.0
2016-04-19 05:18:00,820.0
2016-04-19 05:21:00,480.0
2016-04-19 05:24:00,860.0
2016-04-19 05:27:00,840.0
2016-04-19 05:30:00,700.0
2016-04-19 05:33:00,860.0
2016-04-19 05:36:00,740.0
2016-04-19 05:39:00,780.0
2016-04-19 05:42:00,980.0
2016-04-19 05:45:00,760.0
2016-04-19 05:48:00,860.0
2016-04-19 05:51:00,840.0
2016-04-19 05:54:00,1040.0
2016-04-19 05:57:00,920.0
2016-04-19 06:00:00,800.0
2016-04-19 06:03:00,920.0
2016-04-19 06:06:00,680.0
2016-04-19 06:09:00,960.0
2016-04-19 06:12:00,640.0
2016-04-19 06:15:00,620.0
2016-04-19 06:18:00,860.0
2016-04-19 06:21:00,720.0
2016-04-19 06:24:00,740.0
2016-04-19 06:27:00,860.0
2016-04-19 06:30:00,700.0
2016-04-19 06:33:00,740.0
2016-04-19 06:36:00,560.0
2016-04-19 06:39:00,820.0
2016-04-19 06:42:00,740.0
2016-04-19 06:45:00,620.0
2016-04-19 06:48:00,700.0
2016-04-19 06:51:00,980.0
2016-04-19 06:54:00,720.0
2016-04-19 06:57:00,640.0
2016-04-19 07:00:00,820.0
2016-04-19 07:03:00,680.0
2016-04-19 07:06:00,640.0
2016-04-19 07:09:00,700.0
2016-04-19 07:12:00,740.0
2016-04-19 07:15:00,840.0
2016-04-19 07:18:00,620.0
2016-04-19 07:21:00,780.0
2016-04-19 07:24:00,960.0
2016-04-19 07:27:00,500.0
2016-04-19 07:30:00,920.0
2016-04-19 07:33:00,760.0
2016-04-19 07:36:00,720.0
2016-04-19 07:39:00,720.0
2016-04-19 07:42:00,720.0
2016-04-19 07:45:00,680.0
2016-04-19 07:48:00,680.0
2016-04-19 07:51:00,880.0
2016-04-19 07:54:00,880.0
2016-04-19 07:57:00,960.0
2016-04-19 08:00:00,720.0
2016-04-19 08:03:00,740.0
2016-04-19 08:06:00,640.0
2016-04-19 08:09:00,600.0
2016-04-19 08:12:00,480.0
2016-04-19 08:15:00,740.0
2016-04-19 08:18:00,560.0
2016-04-19 08:21:00,440.0
2016-04-19 08:24:00,420.0
2016-04-19 08:27:00,440.0
2016-04-19 08:30:00,520.0
2016-04-19 08:33:00,540.0
2016-04-19 08:36:00,580.0
2016-04-19 08:39:00,400.0
2016-04-19 08:42:00,620.0
2016-04-19 08:45:00,580.0
2016-04-19 08:48:00,540.0
2016-04-19 08:51:00,360.0
2016-04-19 08:54:00,320.0
2016-04-19 08:57:00,420.0
2016-04-19 09:00:00,720.0
2016-04-19 09:03:00,660.0
2016-04-19 09:06:00,440.0
2016-04-19 09:09:00,400.0
2016-04-19 09:12:00,560.0
2016-04-19 09:15:00,620.0
2016-04-19 09:18:00,460.0
2016-04-19 09:21:00,360.0
2016-04-19 09:24:00,320.0
2016-04-19 09:27:00,400.0
2016-04-19 09:30:00,480.0
2016-04-19 09:33:00,460.0
2016-04-19 09:36:00,480.0
2016-04-19 09:39:00,560.0
2016-04-19 09:42:00,620.0
2016-04-19 09:45:00,640.0
2016-04-19 09:48:00,460.0
2016-04-19 09:51:00,580.0
2016-04-19 09:54:00,520.0
2016-04-19 09:57:00,420.0
2016-04-19 10:00:00,440.0
2016-04-19 10:03:00,400.0
2016-04-19 10:06:00,300.0
2016-04-19 10:09:00,500.0
2016-04-19 10:12:00,380.0
2016-04-19 10:15:00,520.0
2016-04-19 10:18:00,420.0
2016-04-19 10:21:00,580.0
2016-04-19 10:24:00,580.0
2016-04-19 10:27:00,440.0
2016-04-19 10:30:00,520.0
2016-04-19 10:33:00,400.0
2016-04-19 10:36:00,460.0
2016-04-19 10:39:00,480.0
2016-04-19 10:42:00,640.0
2016-04-19 10:45:00,440.0
2016-04-19 10:48:00,420.0
2016-04-19 10:51:00,820.0
2016-04-19 10:54:00,400.0
2016-04-19 10:57:00,400.0
2016-04-19 11:00:00,600.0
2016-04-19 11:03:00,280.0
2016-04-19 11:06:00,620.0
2016-04-19 11:09:00,860.0
2016-04-19 11:12:00,640.0
2016-04-19 11:15:00,460.0
2016-04-19 11:18:00,420.0
2016-04-19 11:21:00,500.0
2016-04-19 11:24:00,440.0
2016-04-19 11:27:00,340.0
2016-04-19 11:30:00,500.0
2016-04-19 11:33:00,660.0
2016-04-19 11:36:00,500.0
2016-04-19 11:39:00,780.0
2016-04-19 11:42:00,840.0
2016-04-19 11:45:00,440.0
2016-04-19 11:48:00,760.0
2016-04-19 11:51:00,520.0
2016-04-19 11:54:00,560.0
2016-04-19 11:57:00,380.0
2016-04-19 12:00:00,640.0
2016-04-19 12:03:00,620.0
2016-04-19 12:06:00,480.0
2016-04-19 12:09:00,620.0
2016-04-19 12:12:00,500.0
2016-04-19 12:15:00,540.0
2016-04-19 12:18:00,500.0
2016-04-19 12:21:00,540.0
2016-04-19 12:24:00,460.0
2016-04-19 12:27:00,520.0
2016-04-19 12:30:00,680.0
2016-04-19 12:33:00,600.0
2016-04-19 12:36:00,600.0
2016-04-19 12:39:00,780.0
2016-04-19 12:42:00,640.0
2016-04-19 12:45:00,740.0
2016-04-19 12:48:00,540.0
2016-04-19 12:51:00,580.0
2016-04-19 12:54:00,500.0
2016-04-19 12:57:00,540.0
2016-04-19 13:00:00,440.0
2016-04-19 13:03:00,540.0
2016-04-19 13:06:00,720.0
2016-04-19 13:09:00,460.0
2016-04-19 13:12:00,540.0
2016-04-19 13:15:00,700.0
2016-04-19 13:18:00,620.0
2016-04-19 13:21:00,720.0
2016-04-19 13:24:00,440.0
2016-04-19 13:27:00,560.0
2016-04-19 13:30:00,880.0
2016-04-19 13:33:00,680.0
2016-04-19 13:36:00,860.0
2016-04-19 13:39:00,660.0
2016-04-19 13:42:00,500.0
2016-04-19 13:45:00,920.0
2016-04-19 13:48:00,780.0
2016-04-19 13:51:00,500.0
2016-04-19 13:54:00,700.0
2016-04-19 13:57:00,860.0
2016-04-19 14:00:00,560.0
